"","churn_decision","gender","SeniorCitizen","Partner","Dependents","tenure","PhoneService","MultipleLines","InternetService","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","Contract","PaperlessBilling","PaymentMethod","MonthlyCharges","TotalCharges"
"365","No","Male","No","No","No",18,"Yes","No","Fiber optic","No","No","No","Yes","No","No","Month-to-month","Yes","Bank transfer (automatic)",75.9,1373.05
"366","Yes","Male","No","No","No",5,"Yes","No","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","No","Bank transfer (automatic)",96.5,492.55
"367","No","Male","No","Yes","No",23,"Yes","No","DSL","Yes","No","No","No","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",59.95,1406
"368","No","Female","No","No","No",1,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",19.15,19.15
"369","No","Male","No","Yes","No",71,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","One year","Yes","Credit card (automatic)",98.65,6962.85
"370","No","Male","No","Yes","Yes",72,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",112.6,8126.65
"371","No","Male","No","Yes","Yes",33,"Yes","No","No","No","No","No","No","No","No","One year","No","Mailed check",20.6,690.25
"372","Yes","Male","No","No","No",2,"Yes","Yes","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",85.65,181.5
"373","No","Male","No","No","Yes",24,"No","No","DSL","Yes","No","No","Yes","No","No","Two year","No","Mailed check",35.75,830.8
"374","No","Female","No","Yes","Yes",56,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","No","Yes","One year","Yes","Credit card (automatic)",99.75,5608.4
"375","No","Male","No","No","No",37,"Yes","No","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",96.1,3646.8
"376","No","Female","No","No","No",43,"Yes","Yes","DSL","No","Yes","Yes","Yes","Yes","Yes","One year","No","Credit card (automatic)",85.1,3662.25
"377","No","Male","No","No","No",1,"No","No","DSL","No","No","No","No","No","No","Month-to-month","No","Mailed check",25.35,25.35
"378","Yes","Female","No","Yes","No",25,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",104.95,2566.5
"379","No","Female","No","No","No",61,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Electronic check",89.65,5308.7
"380","No","Male","No","No","No",17,"Yes","Yes","Fiber optic","No","No","Yes","Yes","No","No","One year","No","Electronic check",86.75,1410.25
"381","No","Female","No","Yes","No",41,"Yes","No","Fiber optic","No","Yes","Yes","Yes","No","No","One year","Yes","Bank transfer (automatic)",86.2,3339.05
"382","Yes","Male","No","No","No",1,"Yes","No","DSL","No","Yes","No","No","No","No","Month-to-month","No","Mailed check",50.65,50.65
"383","No","Male","Yes","Yes","Yes",72,"No","No","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",64.8,4732.35
"384","Yes","Male","No","No","No",1,"Yes","Yes","Fiber optic","No","Yes","No","No","No","Yes","Month-to-month","Yes","Credit card (automatic)",90.85,90.85
"385","No","Male","No","No","No",48,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Two year","Yes","Bank transfer (automatic)",108.1,5067.45
"386","Yes","Male","Yes","Yes","No",11,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",19.95,214.75
"387","Yes","Female","Yes","Yes","No",55,"Yes","Yes","Fiber optic","No","Yes","Yes","No","No","No","Month-to-month","Yes","Electronic check",85.45,4874.7
"388","No","Female","No","No","No",42,"No","No","DSL","Yes","Yes","Yes","Yes","No","Yes","One year","Yes","Electronic check",54.75,2348.45
"389","No","Male","No","No","No",44,"Yes","Yes","Fiber optic","No","No","Yes","No","No","Yes","Month-to-month","Yes","Mailed check",90.4,4063
"390","No","Male","No","No","Yes",1,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Electronic check",44,44
"391","No","Female","No","No","No",27,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",95.6,2595.25
"392","No","Male","Yes","Yes","No",27,"Yes","Yes","DSL","No","Yes","Yes","Yes","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",84.8,2309.55
"393","No","Female","Yes","No","No",2,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",44.3,89.3
"394","No","Female","No","No","No",19,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",19.9,367.55
"395","No","Female","Yes","Yes","No",42,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",95.05,3944.5
"396","No","Female","No","No","No",66,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",90.05,5965.95
"397","No","Male","Yes","Yes","No",33,"Yes","Yes","Fiber optic","Yes","No","Yes","Yes","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",109.9,3694.7
"398","Yes","Female","No","No","No",34,"Yes","No","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",73.95,2524.45
"399","No","Male","Yes","No","No",33,"No","No","DSL","No","No","Yes","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",54.6,1803.7
"400","No","Female","No","Yes","Yes",23,"Yes","No","No","No","No","No","No","No","No","One year","No","Mailed check",20.05,415.1
"401","No","Female","No","No","No",32,"Yes","No","No","No","No","No","No","No","No","One year","No","Bank transfer (automatic)",19.75,624.15
"402","No","Female","No","No","No",11,"Yes","No","No","No","No","No","No","No","No","One year","No","Credit card (automatic)",20.05,237.7
"403","Yes","Male","No","Yes","Yes",69,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",99.45,7007.6
"404","No","Female","No","Yes","No",68,"Yes","No","DSL","Yes","No","No","Yes","No","No","One year","No","Bank transfer (automatic)",55.9,3848.8
"405","No","Male","No","No","No",20,"Yes","No","No","No","No","No","No","No","No","Two year","Yes","Mailed check",19.7,419.4
"406","No","Male","No","No","No",72,"Yes","No","No","No","No","No","No","No","No","Two year","Yes","Credit card (automatic)",19.8,1468.75
"407","No","Male","No","Yes","Yes",60,"Yes","Yes","Fiber optic","Yes","No","Yes","No","Yes","No","One year","Yes","Bank transfer (automatic)",95.4,5812
"408","No","Male","Yes","Yes","Yes",32,"Yes","No","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Mailed check",93.95,2861.45
"409","Yes","Female","No","No","No",1,"Yes","No","No","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",19.9,19.9
"410","Yes","Male","No","No","No",1,"Yes","No","No","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",19.6,19.6
"411","Yes","Male","Yes","No","No",3,"Yes","Yes","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Electronic check",81.35,233.7
"412","No","Female","No","Yes","No",46,"Yes","Yes","No","No","No","No","No","No","No","One year","Yes","Bank transfer (automatic)",24.45,1066.15
"413","No","Female","No","Yes","No",29,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",74.95,2149.05
"414","No","Male","No","No","No",51,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","No","No","Month-to-month","Yes","Electronic check",87.35,4473
"415","No","Female","Yes","Yes","No",48,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",70.65,3545.05
"416","No","Female","No","Yes","Yes",16,"Yes","No","Fiber optic","No","Yes","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",73.25,1195.75
"417","No","Male","No","Yes","No",70,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","No","Yes","Two year","Yes","Bank transfer (automatic)",98.7,6858.9
"418","No","Female","No","Yes","Yes",40,"Yes","Yes","No","No","No","No","No","No","No","Two year","Yes","Mailed check",24.8,1024.7
"419","Yes","Female","No","Yes","Yes",22,"Yes","No","Fiber optic","No","Yes","No","No","No","Yes","Month-to-month","No","Electronic check",83.3,1845.9
"420","Yes","Female","Yes","No","No",1,"Yes","No","Fiber optic","No","No","Yes","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",75.3,75.3
"421","No","Female","No","Yes","Yes",5,"Yes","Yes","No","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",24.3,132.25
"422","No","Female","No","No","No",7,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",69.85,515.45
"423","No","Male","No","No","Yes",29,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","No","Yes","One year","No","Credit card (automatic)",100.55,2830.45
"424","No","Male","No","Yes","Yes",44,"Yes","Yes","No","No","No","No","No","No","No","One year","No","Mailed check",25.7,1110.5
"425","No","Female","No","No","No",10,"No","No","DSL","Yes","Yes","Yes","No","No","No","Month-to-month","No","Bank transfer (automatic)",40.7,449.3
"426","No","Female","Yes","Yes","No",55,"Yes","Yes","DSL","No","No","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",51.65,2838.55
"427","No","Male","Yes","Yes","No",52,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","One year","Yes","Bank transfer (automatic)",105.1,5376.4
"428","No","Female","No","Yes","Yes",10,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","No","Electronic check",85.95,858.6
"429","No","Male","No","No","No",18,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",75.6,1395.05
"430","No","Female","No","Yes","No",68,"Yes","Yes","DSL","Yes","No","No","Yes","No","No","One year","No","Bank transfer (automatic)",58.25,3975.7
"431","Yes","Female","No","Yes","Yes",61,"Yes","No","No","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",19.4,1182.55
"432","No","Female","No","Yes","Yes",72,"No","No","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",65.2,4784.45
"433","No","Male","No","No","No",2,"Yes","No","DSL","Yes","No","Yes","No","No","No","Month-to-month","No","Electronic check",53.45,119.5
"434","Yes","Male","No","No","No",12,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",45.4,518.9
"435","No","Male","No","Yes","No",41,"Yes","No","No","No","No","No","No","No","No","Two year","Yes","Electronic check",19.75,899.45
"436","No","Female","No","No","No",26,"No","No","DSL","No","No","Yes","Yes","Yes","No","Month-to-month","Yes","Credit card (automatic)",44.45,1183.8
"437","No","Male","No","Yes","No",36,"Yes","No","No","No","No","No","No","No","No","One year","No","Bank transfer (automatic)",20.85,720.05
"438","No","Male","No","Yes","Yes",72,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",114.05,8468.2
"439","No","Male","No","Yes","No",35,"Yes","Yes","Fiber optic","No","No","No","Yes","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",89.85,3161.2
"440","No","Male","No","No","No",1,"Yes","No","DSL","No","No","Yes","Yes","No","No","Month-to-month","No","Mailed check",55.05,55.05
"441","No","Female","No","Yes","Yes",16,"Yes","Yes","Fiber optic","Yes","No","Yes","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",112.95,1882.55
"442","No","Female","Yes","No","No",49,"Yes","Yes","Fiber optic","Yes","No","No","No","Yes","Yes","Month-to-month","No","Credit card (automatic)",101.55,5070.4
"443","No","Female","No","Yes","No",54,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","One year","Yes","Mailed check",114.65,6049.5
"444","No","Female","No","No","Yes",18,"Yes","Yes","DSL","Yes","No","No","No","No","Yes","Month-to-month","No","Electronic check",64.8,1166.7
"445","No","Female","No","Yes","No",36,"Yes","No","Fiber optic","No","No","No","No","No","Yes","Month-to-month","No","Electronic check",80.4,2937.65
"446","Yes","Female","No","No","No",60,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",105.9,6396.45
"447","Yes","Female","No","No","No",1,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Mailed check",69.55,69.55
"448","No","Female","No","Yes","Yes",52,"Yes","Yes","No","No","No","No","No","No","No","Two year","Yes","Bank transfer (automatic)",25.05,1270.25
"449","No","Male","No","Yes","Yes",8,"Yes","No","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",94.75,759.55
"450","No","Male","No","Yes","Yes",72,"Yes","No","Fiber optic","Yes","Yes","No","Yes","Yes","Yes","Two year","No","Bank transfer (automatic)",105.5,7611.55
"451","No","Female","No","No","No",64,"Yes","Yes","No","No","No","No","No","No","No","One year","No","Mailed check",24.7,1642.75
"452","No","Female","Yes","No","No",22,"Yes","No","DSL","Yes","No","Yes","Yes","No","Yes","Month-to-month","Yes","Mailed check",69.75,1545.4
"453","No","Male","No","Yes","No",60,"No","No","DSL","No","Yes","Yes","Yes","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",60.2,3582.4
"454","Yes","Female","No","Yes","Yes",28,"Yes","No","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",81.05,2227.1
"455","No","Female","No","Yes","No",61,"Yes","Yes","No","No","No","No","No","No","No","Two year","No","Mailed check",24.4,1417.9
"456","No","Female","No","No","No",24,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",104.15,2494.65
"457","No","Male","No","Yes","Yes",28,"Yes","No","Fiber optic","No","Yes","Yes","Yes","Yes","No","One year","No","Bank transfer (automatic)",92.9,2768.35
"458","No","Female","No","Yes","Yes",30,"Yes","No","DSL","No","Yes","Yes","Yes","Yes","Yes","Two year","No","Bank transfer (automatic)",80.8,2369.3
"459","No","Male","No","Yes","No",2,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",20,38
"460","No","Male","No","No","No",1,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",75.1,75.1
"461","No","Male","No","No","Yes",6,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",19.65,100.9
"462","No","Female","No","Yes","No",24,"Yes","No","DSL","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",69.45,1614.05
"463","Yes","Male","No","Yes","Yes",4,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","No","Electronic check",101.15,385.9
"464","Yes","Male","No","No","No",7,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",99.8,673.25
"465","No","Male","Yes","Yes","No",72,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",116.05,8404.9
"466","No","Male","No","No","No",70,"No","No","DSL","No","No","No","Yes","No","Yes","Two year","Yes","Mailed check",40.05,2799.75
"467","No","Male","Yes","Yes","No",64,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","Two year","No","Electronic check",102.1,6538.45
"468","No","Male","No","Yes","Yes",72,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No","One year","Yes","Electronic check",89.7,6588.95
"469","No","Female","No","No","Yes",44,"Yes","No","No","No","No","No","No","No","No","Two year","No","Mailed check",19.9,868.1
"470","Yes","Female","No","Yes","Yes",13,"Yes","No","DSL","No","No","No","No","No","Yes","Month-to-month","No","Electronic check",55.95,734.35
"471","No","Female","Yes","No","No",17,"Yes","No","No","No","No","No","No","No","No","One year","No","Mailed check",20.65,330.6
"472","Yes","Male","No","No","No",1,"Yes","No","DSL","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",55,55
"473","No","Male","No","Yes","No",9,"Yes","No","DSL","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Mailed check",70.05,564.4
"474","No","Male","No","Yes","No",24,"Yes","No","DSL","Yes","No","No","Yes","No","No","Month-to-month","No","Mailed check",53.6,1315.35
"475","Yes","Female","No","Yes","Yes",1,"Yes","No","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Electronic check",74.7,74.7
"476","Yes","Male","No","No","No",24,"Yes","Yes","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Electronic check",80.25,1861.5
"477","No","Male","Yes","Yes","Yes",35,"Yes","No","DSL","No","Yes","No","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",76.05,2747.2
"478","No","Female","No","Yes","Yes",7,"Yes","No","DSL","Yes","Yes","Yes","Yes","Yes","No","Month-to-month","Yes","Electronic check",75.7,554.05
"479","Yes","Male","No","No","No",5,"Yes","No","Fiber optic","No","No","No","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",96.1,453.4
"480","Yes","Female","No","No","Yes",15,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",69,994.8
"481","No","Male","No","Yes","Yes",11,"Yes","No","No","No","No","No","No","No","No","Two year","No","Mailed check",19.65,225.75
"482","Yes","Female","No","Yes","No",48,"No","No","DSL","Yes","No","Yes","No","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",45.3,2145
"483","No","Female","Yes","No","No",20,"Yes","No","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",81.45,1671.6
"484","No","Female","No","Yes","No",72,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","One year","Yes","Bank transfer (automatic)",108.5,8003.8
"485","Yes","Female","No","Yes","Yes",8,"Yes","No","Fiber optic","No","Yes","No","No","Yes","No","Month-to-month","Yes","Electronic check",83.55,680.05
"486","No","Male","No","Yes","Yes",72,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Two year","Yes","Credit card (automatic)",84.5,6130.85
"487","No","Female","No","No","No",15,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",100.15,1415
"488","No","Male","No","No","No",72,"Yes","Yes","DSL","No","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",88.6,6201.95
"490","Yes","Male","No","No","Yes",1,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",74.35,74.35
"491","No","Male","No","Yes","Yes",63,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Two year","Yes","Bank transfer (automatic)",104.8,6597.25
"492","No","Female","No","No","No",2,"Yes","No","DSL","No","Yes","No","No","Yes","No","Month-to-month","Yes","Electronic check",59,114.15
"493","Yes","Female","No","Yes","No",2,"Yes","No","Fiber optic","Yes","No","No","No","No","No","Month-to-month","Yes","Electronic check",74.4,139.4
"494","No","Male","Yes","Yes","No",61,"Yes","Yes","DSL","No","Yes","No","No","No","Yes","One year","No","Bank transfer (automatic)",64.05,3902.6
"495","No","Male","No","No","No",1,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",20.4,20.4
"496","Yes","Male","No","No","No",22,"No","No","DSL","No","Yes","Yes","No","No","Yes","One year","Yes","Bank transfer (automatic)",43.75,903.6
"497","No","Male","No","Yes","No",28,"Yes","No","DSL","Yes","Yes","No","Yes","No","No","Month-to-month","No","Mailed check",60.9,1785.65
"498","No","Female","No","Yes","No",70,"Yes","No","No","No","No","No","No","No","No","Two year","No","Bank transfer (automatic)",19.8,1397.65
"499","Yes","Female","Yes","No","No",5,"No","No","DSL","No","Yes","No","No","No","No","Month-to-month","No","Electronic check",28.45,131.05
"500","Yes","Female","No","No","No",12,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",99.7,1238.45
"501","No","Male","No","No","No",34,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","One year","No","Credit card (automatic)",116.25,3899.05
"502","No","Female","Yes","Yes","No",71,"Yes","Yes","Fiber optic","Yes","No","No","No","No","No","Two year","Yes","Credit card (automatic)",80.7,5676
"503","No","Female","No","Yes","Yes",70,"Yes","Yes","DSL","Yes","No","No","No","No","Yes","One year","No","Bank transfer (automatic)",65.2,4543.15
"504","No","Female","No","Yes","Yes",52,"Yes","No","Fiber optic","Yes","No","Yes","Yes","No","No","Month-to-month","Yes","Bank transfer (automatic)",84.05,4326.8
"505","No","Male","No","No","Yes",69,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","No","Two year","Yes","Credit card (automatic)",79.45,5502.55
"506","Yes","Female","Yes","No","No",20,"Yes","Yes","Fiber optic","No","Yes","Yes","No","No","Yes","Month-to-month","Yes","Electronic check",94.1,1782.4
"507","No","Male","No","No","Yes",11,"Yes","Yes","Fiber optic","No","No","Yes","No","No","No","Month-to-month","Yes","Mailed check",78,851.8
"508","Yes","Male","No","Yes","No",2,"Yes","No","Fiber optic","No","No","No","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",94.2,167.5
"509","Yes","Female","No","Yes","Yes",6,"Yes","Yes","Fiber optic","No","No","No","Yes","No","No","Month-to-month","Yes","Electronic check",80.5,502.85
"510","No","Female","No","No","No",1,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",19.85,19.85
"511","No","Male","Yes","Yes","Yes",20,"Yes","No","Fiber optic","Yes","No","Yes","Yes","No","Yes","One year","No","Credit card (automatic)",94.3,1818.3
"512","No","Male","No","No","No",61,"Yes","Yes","Fiber optic","Yes","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",106.45,6300.15
"513","Yes","Female","Yes","Yes","No",5,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",74.35,334.8
"514","No","Female","No","No","No",56,"Yes","Yes","Fiber optic","No","Yes","No","Yes","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",105.45,5916.95
"515","No","Male","No","No","No",30,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","No","No","Month-to-month","Yes","Credit card (automatic)",95,2852.4
"516","Yes","Male","No","No","No",40,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","Month-to-month","No","Bank transfer (automatic)",104.8,4131.95
"517","No","Female","No","No","No",28,"Yes","No","DSL","Yes","No","No","Yes","No","No","One year","No","Mailed check",54.3,1546.3
"518","No","Female","Yes","Yes","No",5,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Electronic check",70.05,302.6
"519","Yes","Female","Yes","Yes","No",27,"Yes","No","Fiber optic","Yes","No","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",75.2,1929.35
"520","No","Male","No","No","No",12,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Credit card (automatic)",20.05,265.45
"521","No","Male","No","Yes","Yes",67,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","One year","Yes","Electronic check",105.4,6989.45
"522","No","Male","Yes","Yes","No",29,"Yes","Yes","DSL","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",51.6,1442
"523","No","Male","No","Yes","Yes",55,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","No","Bank transfer (automatic)",85.5,4713.4
"524","Yes","Female","No","No","No",23,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",75.6,1758.6
"525","Yes","Male","No","Yes","No",34,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",100.05,3480
"526","No","Male","No","No","No",52,"Yes","No","Fiber optic","Yes","No","Yes","No","Yes","No","One year","No","Electronic check",91.25,4738.3
"527","No","Male","Yes","Yes","Yes",72,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",115.75,8399.15
"528","No","Male","No","Yes","Yes",58,"Yes","Yes","Fiber optic","No","Yes","No","Yes","Yes","No","One year","Yes","Credit card (automatic)",94.7,5430.35
"529","No","Male","No","Yes","Yes",35,"Yes","No","No","No","No","No","No","No","No","Two year","No","Mailed check",19.6,686.95
"530","No","Female","Yes","No","No",56,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","No","Two year","Yes","Bank transfer (automatic)",99.9,5706.3
"531","No","Female","No","Yes","Yes",24,"Yes","No","No","No","No","No","No","No","No","Two year","Yes","Credit card (automatic)",21.1,490.65
"532","No","Male","No","Yes","Yes",70,"Yes","No","No","No","No","No","No","No","No","Two year","No","Credit card (automatic)",20.05,1360.25
"533","No","Male","No","No","No",2,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",79.95,174.45
"534","No","Male","Yes","Yes","Yes",68,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","One year","Yes","Credit card (automatic)",107.15,7379.8
"535","Yes","Female","No","No","No",1,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",85,85
"536","No","Male","No","No","No",12,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","No","Month-to-month","Yes","Electronic check",89.55,1021.75
"537","No","Female","No","Yes","No",63,"Yes","Yes","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",81.55,5029.05
"538","No","Female","No","Yes","Yes",33,"Yes","No","DSL","Yes","Yes","Yes","No","No","No","One year","Yes","Mailed check",58.45,1955.4
"539","No","Female","No","Yes","No",69,"Yes","No","Fiber optic","No","Yes","No","No","Yes","Yes","One year","Yes","Credit card (automatic)",95.65,6744.2
"540","No","Female","No","Yes","Yes",60,"Yes","No","DSL","No","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",80.6,4946.7
"541","No","Female","No","Yes","Yes",72,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",113.1,8248.5
"542","No","Female","No","No","No",11,"Yes","Yes","DSL","No","No","No","No","No","Yes","Month-to-month","Yes","Mailed check",58.95,601.6
"543","No","Female","No","No","No",1,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",19.55,19.55
"544","Yes","Male","No","No","No",10,"Yes","Yes","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",86.05,834.1
"545","Yes","Male","No","No","No",13,"No","No","DSL","Yes","No","No","Yes","Yes","No","Month-to-month","Yes","Credit card (automatic)",45.55,597
"546","No","Male","No","Yes","Yes",34,"Yes","No","Fiber optic","No","No","No","No","No","Yes","One year","Yes","Bank transfer (automatic)",78.95,2647.2
"547","Yes","Male","No","Yes","Yes",39,"Yes","No","Fiber optic","No","Yes","No","No","Yes","No","Month-to-month","Yes","Mailed check",86.3,3266
"548","No","Female","No","No","No",65,"Yes","Yes","Fiber optic","No","Yes","No","Yes","Yes","Yes","One year","Yes","Bank transfer (automatic)",105.05,6744.25
"549","No","Male","Yes","Yes","No",50,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","No","One year","Yes","Bank transfer (automatic)",101.9,5265.5
"550","No","Male","No","No","No",15,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",19.75,311.6
"551","No","Male","No","Yes","Yes",72,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","Two year","Yes","Bank transfer (automatic)",110.3,7966.9
"552","No","Female","No","Yes","Yes",72,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",115.6,8220.4
